"lon","lat","air_2"
90,-20,24.0128650665283
92.5,-20,23.2332191467285
95,-20,23.7178611755371
97.5,-20,23.641788482666
100,-20,21.8628578186035
102.5,-20,19.8314361572266
105,-20,17.9621505737305
107.5,-20,17.8814334869385
110,-20,18.7375087738037
112.5,-20,19.4278621673584
115,-20,21.0332164764404
117.5,-20,22.0614356994629
120,-20,22.3760795593262
122.5,-20,22.6428623199463
125,-20,22.5232181549072
127.5,-20,22.8017921447754
130,-20,22.888219833374
132.5,-20,22.7789325714111
135,-20,23.0932178497314
137.5,-20,23.1942939758301
140,-20,23.3003578186035
142.5,-20,23.6292896270752
145,-20,23.8639335632324
147.5,-20,23.9853572845459
150,-20,24.2421455383301
90,-17.5,23.0503597259521
92.5,-17.5,23.5296440124512
95,-17.5,24.43678855896
97.5,-17.5,25.4310703277588
100,-17.5,25.287504196167
102.5,-17.5,23.8089275360107
105,-17.5,21.3517951965332
107.5,-17.5,19.8667907714844
110,-17.5,20.829647064209
112.5,-17.5,21.9628639221191
115,-17.5,22.3375072479248
117.5,-17.5,23.1917877197266
120,-17.5,23.326078414917
122.5,-17.5,22.8750038146973
125,-17.5,23.7335758209229
127.5,-17.5,24.4953575134277
130,-17.5,24.431432723999
132.5,-17.5,24.6464328765869
135,-17.5,24.8035736083984
137.5,-17.5,25.0675029754639
140,-17.5,25.4067859649658
142.5,-17.5,25.4032135009766
145,-17.5,25.4903564453125
147.5,-17.5,25.5635719299316
150,-17.5,25.6089305877686
90,-15,23.9839363098145
92.5,-15,24.0700073242188
95,-15,25.328929901123
97.5,-15,27.2278633117676
100,-15,27.1750011444092
102.5,-15,26.2592926025391
105,-15,24.5450038909912
107.5,-15,22.1164302825928
110,-15,22.4060707092285
112.5,-15,23.7239379882812
115,-15,24.2425022125244
117.5,-15,25.4060688018799
120,-15,24.6778602600098
122.5,-15,23.7917900085449
125,-15,25.5435791015625
127.5,-15,25.9625053405762
130,-15,25.6574993133545
132.5,-15,26.2832202911377
135,-15,26.1167869567871
137.5,-15,26.2742881774902
140,-15,26.5850028991699
142.5,-15,26.4714298248291
145,-15,26.6103630065918
147.5,-15,26.7350006103516
150,-15,26.8567848205566
90,-12.5,25.2417888641357
92.5,-12.5,25.0814266204834
95,-12.5,26.3267879486084
97.5,-12.5,27.3514270782471
100,-12.5,26.5303611755371
102.5,-12.5,26.7778568267822
105,-12.5,26.9800052642822
107.5,-12.5,24.5750026702881
110,-12.5,23.5450019836426
112.5,-12.5,24.6892833709717
115,-12.5,25.3021488189697
117.5,-12.5,26.0367832183838
120,-12.5,25.8160705566406
122.5,-12.5,25.4171485900879
125,-12.5,26.4664268493652
127.5,-12.5,26.997142791748
130,-12.5,27.2010688781738
132.5,-12.5,27.3192901611328
135,-12.5,27.1717891693115
137.5,-12.5,27.4250049591064
140,-12.5,27.2785663604736
142.5,-12.5,27.227502822876
145,-12.5,27.2435779571533
147.5,-12.5,26.9525032043457
150,-12.5,27.1589298248291
90,-10,26.1574974060059
92.5,-10,26.5628643035889
95,-10,26.9974975585938
97.5,-10,26.8582134246826
100,-10,26.3760681152344
102.5,-10,26.5503559112549
105,-10,27.0857124328613
107.5,-10,25.8189334869385
110,-10,24.4589252471924
112.5,-10,25.4014320373535
115,-10,25.894998550415
117.5,-10,25.832857131958
120,-10,26.2885723114014
122.5,-10,25.289644241333
125,-10,24.4307117462158
127.5,-10,26.503927230835
130,-10,28.1810703277588
132.5,-10,27.5392875671387
135,-10,27.5489330291748
137.5,-10,27.722146987915
140,-10,27.3242855072021
142.5,-10,27.5535678863525
145,-10,27.7289333343506
147.5,-10,27.8067836761475
150,-10,27.7700042724609
90,-7.5,26.627498626709
92.5,-7.5,27.0642852783203
95,-7.5,27.0335712432861
97.5,-7.5,26.7785701751709
100,-7.5,26.64821434021
102.5,-7.5,25.4192867279053
105,-7.5,25.0496482849121
107.5,-7.5,24.9935703277588
110,-7.5,24.6078624725342
112.5,-7.5,25.6146488189697
115,-7.5,25.5839290618896
117.5,-7.5,25.2117862701416
120,-7.5,26.448579788208
122.5,-7.5,25.6146411895752
125,-7.5,23.9321460723877
127.5,-7.5,25.998571395874
130,-7.5,27.8553581237793
132.5,-7.5,27.5325012207031
135,-7.5,27.8778533935547
137.5,-7.5,27.8703575134277
140,-7.5,28.017858505249
142.5,-7.5,28.1282157897949
145,-7.5,27.5614318847656
147.5,-7.5,27.7685699462891
150,-7.5,27.8328590393066
90,-5,26.8460712432861
92.5,-5,26.9978618621826
95,-5,26.3510761260986
97.5,-5,25.3421459197998
100,-5,25.1742858886719
102.5,-5,24.79714012146
105,-5,24.7864284515381
107.5,-5,24.8025016784668
110,-5,25.4817867279053
112.5,-5,25.5742855072021
115,-5,23.3896503448486
117.5,-5,23.4125061035156
120,-5,26.0589294433594
122.5,-5,26.7889347076416
125,-5,25.9503612518311
127.5,-5,26.6810703277588
130,-5,27.623571395874
132.5,-5,27.8078575134277
135,-5,28.106782913208
137.5,-5,27.8750038146973
140,-5,28.2971477508545
142.5,-5,28.6321449279785
145,-5,28.4182090759277
147.5,-5,28.3746433258057
150,-5,27.8474998474121
90,-2.5,27.6792850494385
92.5,-2.5,27.8875026702881
95,-2.5,27.0703544616699
97.5,-2.5,25.2117881774902
100,-2.5,24.2164344787598
102.5,-2.5,24.6510715484619
105,-2.5,25.5157203674316
107.5,-2.5,24.9310760498047
110,-2.5,24.9764308929443
112.5,-2.5,23.5564365386963
115,-2.5,21.2550029754639
117.5,-2.5,23.4392852783203
120,-2.5,26.0628566741943
122.5,-2.5,26.685001373291
125,-2.5,26.8592872619629
127.5,-2.5,27.3332118988037
130,-2.5,27.9117870330811
132.5,-2.5,27.7296466827393
135,-2.5,28.1392879486084
137.5,-2.5,28.4882164001465
140,-2.5,28.1660671234131
142.5,-2.5,28.0582160949707
145,-2.5,28.5082130432129
147.5,-2.5,28.8214302062988
150,-2.5,28.6128578186035
90,0,27.3646430969238
92.5,0,27.7767887115479
95,0,27.8903560638428
97.5,0,26.9767913818359
100,0,25.0996513366699
102.5,0,24.2014312744141
105,0,25.7650032043457
107.5,0,25.9346466064453
110,0,24.6939296722412
112.5,0,22.5560760498047
115,0,22.3171482086182
117.5,0,24.7457180023193
120,0,24.6375007629395
122.5,0,25.1132183074951
125,0,26.7857112884521
127.5,0,27.2407169342041
130,0,27.2639255523682
132.5,0,26.4989280700684
135,0,27.267858505249
137.5,0,28.5978565216064
140,0,28.8060722351074
142.5,0,29.0210704803467
145,0,28.7942867279053
147.5,0,28.2203559875488
150,0,27.9557132720947
90,2.5,27.6982116699219
92.5,2.5,27.6689319610596
95,2.5,27.6735687255859
97.5,2.5,27.7885704040527
100,2.5,26.4378623962402
102.5,2.5,24.4178562164307
105,2.5,25.3003597259521
107.5,2.5,26.6100025177002
110,2.5,26.2996520996094
112.5,2.5,25.0067863464355
115,2.5,25.3439292907715
117.5,2.5,25.598575592041
120,2.5,23.6760730743408
122.5,2.5,25.2507171630859
125,2.5,27.597146987915
127.5,2.5,27.3900012969971
130,2.5,27.0585746765137
132.5,2.5,26.0682163238525
135,2.5,25.2446479797363
137.5,2.5,24.4075012207031
140,2.5,24.6985759735107
142.5,2.5,26.6657199859619
145,2.5,28.1142845153809
147.5,2.5,28.5792846679688
150,2.5,27.2028617858887
90,5,27.6071453094482
92.5,5,27.6467895507812
95,5,27.5428600311279
97.5,5,27.7667827606201
100,5,27.583927154541
102.5,5,26.1139278411865
105,5,25.0792865753174
107.5,5,25.5410766601562
110,5,26.622142791748
112.5,5,26.4317836761475
115,5,26.6464328765869
117.5,5,26.8310737609863
120,5,25.9317893981934
122.5,5,27.0267848968506
125,5,27.7732105255127
127.5,5,27.3975028991699
130,5,27.7464332580566
132.5,5,27.5157165527344
135,5,26.1335716247559
137.5,5,23.6010761260986
140,5,22.1785774230957
142.5,5,21.8214302062988
145,5,22.7346496582031
147.5,5,26.0921478271484
150,5,27.3982124328613
90,7.5,27.2110729217529
92.5,7.5,27.6103572845459
95,7.5,27.8417854309082
97.5,7.5,27.5996417999268
100,7.5,27.5382213592529
102.5,7.5,27.3992881774902
105,7.5,26.3992900848389
107.5,7.5,25.8553638458252
110,7.5,26.4553565979004
112.5,7.5,26.406078338623
115,7.5,26.6871433258057
117.5,7.5,27.3339290618896
120,7.5,27.268217086792
122.5,7.5,27.2578582763672
125,7.5,26.992862701416
127.5,7.5,27.2464294433594
130,7.5,27.7375011444092
132.5,7.5,27.9450035095215
135,7.5,28.06178855896
137.5,7.5,27.35178565979
140,7.5,26.5332183837891
142.5,7.5,24.475004196167
145,7.5,22.3707141876221
147.5,7.5,23.9810733795166
150,7.5,27.0750026702881
90,10,26.9921436309814
92.5,10,27.1432151794434
95,10,27.2350025177002
97.5,10,27.1525001525879
100,10,27.0382175445557
102.5,10,27.2517871856689
105,10,27.3392887115479
107.5,10,27.2289276123047
110,10,27.1524963378906
112.5,10,27.0671443939209
115,10,27.2914295196533
117.5,10,27.1132164001465
120,10,26.8578605651855
122.5,10,26.7567863464355
125,10,26.7275047302246
127.5,10,27.6132164001465
130,10,27.6825046539307
132.5,10,27.1435699462891
135,10,27.6342868804932
137.5,10,27.95285987854
140,10,27.8585777282715
142.5,10,27.8332099914551
145,10,27.4021415710449
147.5,10,26.4724998474121
150,10,26.8739261627197
90,12.5,26.7514305114746
92.5,12.5,26.6821441650391
95,12.5,26.6403560638428
97.5,12.5,26.9375
100,12.5,27.0335712432861
102.5,12.5,26.9600009918213
105,12.5,27.1307182312012
107.5,12.5,27.4864311218262
110,12.5,27.5892906188965
112.5,12.5,27.6875
115,12.5,27.9860706329346
117.5,12.5,27.7821369171143
120,12.5,27.894287109375
122.5,12.5,27.8346405029297
125,12.5,27.4878635406494
127.5,12.5,28.0903606414795
130,12.5,27.4953556060791
132.5,12.5,25.8114280700684
135,12.5,26.270715713501
137.5,12.5,28.0335712432861
140,12.5,27.6057167053223
142.5,12.5,26.5696411132812
145,12.5,27.7953586578369
147.5,12.5,28.0685710906982
150,12.5,27.3021411895752
90,15,26.6492805480957
92.5,15,26.6889324188232
95,15,26.6657161712646
97.5,15,26.5942859649658
100,15,26.6357154846191
102.5,15,26.9428615570068
105,15,26.9650020599365
107.5,15,27.0828647613525
110,15,27.3567848205566
112.5,15,27.5114269256592
115,15,27.830358505249
117.5,15,27.978572845459
120,15,28.2528629302979
122.5,15,27.7860736846924
125,15,26.4964294433594
127.5,15,26.1699962615967
130,15,25.8721485137939
132.5,15,24.8350028991699
135,15,25.1707153320312
137.5,15,27.9810695648193
140,15,28.6782169342041
142.5,15,25.9828624725342
145,15,25.9435729980469
147.5,15,27.6603565216064
150,15,27.5482158660889
90,17.5,25.7675037384033
92.5,17.5,25.7278575897217
95,17.5,25.7742881774902
97.5,17.5,25.6821460723877
100,17.5,25.8028564453125
102.5,17.5,26.4771461486816
105,17.5,26.7110843658447
107.5,17.5,26.9832096099854
110,17.5,27.4503574371338
112.5,17.5,27.6492862701416
115,17.5,28.0075035095215
117.5,17.5,28.1996440887451
120,17.5,28.2739295959473
122.5,17.5,27.352144241333
125,17.5,25.4810791015625
127.5,17.5,24.7510738372803
130,17.5,25.4803600311279
132.5,17.5,26.2635688781738
135,17.5,25.9799995422363
137.5,17.5,26.5471496582031
140,17.5,27.2775001525879
142.5,17.5,25.0403575897217
145,17.5,23.9871463775635
147.5,17.5,26.1878566741943
150,17.5,27.3392810821533
90,20,24.4446468353271
92.5,20,24.2417888641357
95,20,24.1810760498047
97.5,20,24.2682151794434
100,20,24.4803562164307
102.5,20,25.0278625488281
105,20,25.5935726165771
107.5,20,26.431791305542
110,20,27.0421447753906
112.5,20,27.6146430969238
115,20,28.4182109832764
117.5,20,28.8178539276123
120,20,29.543924331665
122.5,20,29.751070022583
125,20,29.2221431732178
127.5,20,29.0989284515381
130,20,28.519998550415
132.5,20,28.0896415710449
135,20,27.7049999237061
137.5,20,27.3550071716309
140,20,27.5475006103516
142.5,20,25.4921455383301
145,20,22.9550132751465
147.5,20,24.116792678833
150,20,26.5535755157471
